ID;idclasse;nomeclasse;Specializzazione;Articolazione;CodiceMinisteriale;Aula;Sede		
1;C0000;1A;Chimica	Materiali e Biotecnologie;//;;;Belluzzi	
2;C0001;1B;Costruzioni	Ambiente e Territorio;//;;;Belluzzi	
3;C0002;1C;Elettronica ed Elettrotecnica;//;;;da Vinci		
4;C0003;1D;Elettronica ed Elettrotecnica;//;;;da Vinci		
5;C0004;1E;Informatica e Telecomunicazioni;//;;;da Vinci		
6;C0005;1F;Informatica e Telecomunicazioni;//;;;Belluzzi		
7;C0006;1G;Informatica e Telecomunicazioni;//;;;Belluzzi		
8;C0007;1H;Informatica e Telecomunicazioni;//;;;da Vinci		
9;C0008;1I;Informatica e Telecomunicazioni;//;;;Belluzzi		
10;C0009;1J;Informatica e Telecomunicazioni;//;;;Belluzzi		
11;C0010;1K;Informatica e Telecomunicazioni;//;;;da Vinci		
12;C0011;1L;Meccanica	Meccatronica ed Energia;//;;;da Vinci	
13;C0012;1M;Meccanica	Meccatronica ed Energia;//;;;da Vinci	
14;C0013;2A;Chimica	Materiali e Biotecnologie;//;;;Belluzzi	
15;C0014;2B;Costruzioni	Ambiente e Territorio;//;;;Belluzzi	
16;C0015;2C;Articolata Chimica - Costruzioni;//;;;Belluzzi		
17;C0059;2C Cat;Costruzioni	Ambiente e Territorio;//;;;Belluzzi	
18;C0060;2C Chi;Chimica	Materiali e Biotecnologie;//;;;Belluzzi	
19;C0016;2D;Elettronica ed Elettrotecnica;//;;;da Vinci		
20;C0017;2E;Elettronica ed Elettrotecnica;//;;;da Vinci		
21;C0018;2F;Informatica e Telecomunicazioni;//;;;Belluzzi		
22;C0019;2G;Informatica e Telecomunicazioni;//;;;Belluzzi		
23;C0020;2H;Informatica e Telecomunicazioni;//;;;da Vinci		
24;C0021;2I;Informatica e Telecomunicazioni;//;;;Belluzzi		
25;C0022;2J;Informatica e Telecomunicazioni;//;;;Belluzzi		
26;C0023;2L;Meccanica	Meccatronica ed Energia;//;;;da Vinci	
27;C0024;2M;Meccanica	Meccatronica ed Energia;//;;;da Vinci	
28;C0025;3A Chi;Chimica	Materiali e Biotecnologie;Chimica e Materiali;;;da Vinci	
29;C0026;3B Cat;Costruzioni	Ambiente e Territorio;Costruzioni	Ambiente e Territorio;;;Belluzzi
30;C0027;3C Ele;Elettronica ed Elettrotecnica;Elettronica;;;da Vinci		
31;C0061;3D TEC;Elettronica ed Elettrotecnica;Elettrotecnica;;;da Vinci		
32;C0028;3D-E;Elettronica ed Elettrotecnica;Elettrotecnica-Automazione;;;da Vinci		
33;C0062;3E AUT;Elettronica ed Elettrotecnica;Automazione;;;da Vinci		
34;C0029;3F Aut;Elettronica ed Elettrotecnica;Automazione;;;da Vinci		
35;C0030;3G Inf;Informatica e Telecomunicazioni;Informatica;;;Belluzzi		
36;C0031;3H Inf;Informatica e Telecomunicazioni;Informatica;;;Belluzzi		
37;C0032;3I Inf;Informatica e Telecomunicazioni;Informatica;;;Belluzzi		
38;C0033;3J Inf;Informatica e Telecomunicazioni;Informatica;;;Belluzzi		
39;C0034;3K Inf;Informatica e Telecomunicazioni;Informatica;;;Belluzzi		
40;C0035;3L Mec;Meccanica	Meccatronica ed Energia;Meccanica e Meccatronica;;;da Vinci	
41;C0036;3M Mec;Meccanica	Meccatronica ed Energia;Meccanica e Meccatronica;;;da Vinci	
42;C0037;4A Chi;Chimica	Materiali e Biotecnologie;Chimica e Materiali;;;da Vinci	
43;C0038;4B Chi;Chimica	Materiali e Biotecnologie;Chimica e Materiali;;;da Vinci	
44;C0039;4C Cat;Costruzioni	Ambiente e Territorio;Costruzioni	Ambiente e Territorio;;;Belluzzi
45;C0040;4D Ele;Elettronica ed Elettrotecnica;Elettronica;;;da Vinci		
46;C0063;4E Aut;Elettronica ed Elettrotecnica;Automazione;;;da Vinci		
47;C0041;4E-F;Elettronica ed Elettrotecnica;Elettrotecnica-Automazione;;;da Vinci		
48;C0064;4F Tec;Elettronica ed Elettrotecnica;Elettrotecnica;;;da Vinci		
49;C0042;4G Inf;Informatica e Telecomunicazioni;Informatica;;;Belluzzi		
50;C0043;4H Inf;Informatica e Telecomunicazioni;Informatica;;;Belluzzi		
51;C0044;4I Inf;Informatica e Telecomunicazioni;Informatica;;;Belluzzi		
52;C0045;4J Inf;Informatica e Telecomunicazioni;Informatica;;;Belluzzi		
53;C0046;4L Mec;Elettronica eMeccanica	Meccatronica ed Energiad Elettrotecnica;Meccanica e Meccatronica;;;da Vinci	
54;C0047;4M Mec;Meccanica	Meccatronica ed Energia;Meccanica e Meccatronica;;;da Vinci	
55;C0048;5A Chi;Chimica	Materiali e Biotecnologie;Chimica e Materiali;;;da Vinci	
56;C0049;5B Cat;Costruzioni	Ambiente e Territorio;Costruzioni	Ambiente e Territorio;;;Belluzzi
57;C0050;5C Ele;Elettronica ed Elettrotecnica;Elettronica;;;da Vinci		
58;C0051;5D Tec;Elettronica ed Elettrotecnica;Elettrotecnica;;;da Vinci		
59;C0052;5E Aut;Elettronica ed Elettrotecnica;Automazione;;;da Vinci		
60;C0053;5F Inf;Informatica e Telecomunicazioni;Informatica;;;Belluzzi		
61;C0054;5G Inf;Informatica e Telecomunicazioni;Informatica;;;Belluzzi		
62;C0055;5H Inf;Informatica e Telecomunicazioni;Informatica;;;Belluzzi		
63;C0056;5L Mec;Meccanica	Meccatronica ed Energia;Meccanica e Meccatronica;;;da Vinci	
64;C0057;5M Mec;Meccanica	Meccatronica ed Energia;Meccanica e Meccatronica;;;da Vinci	
65;C0058;ITS;;;;;da Vinci		